计算文件哈希值
hash,size,count,files
c56b5725a62194037e8c04af982f8ed4,733,18,.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/mac_arabic.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp775.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp869.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp855.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp857.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp852.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp850.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp860.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp861.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp863.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp862.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp866.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp865.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp858.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp864.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp737.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp437.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1125.pyi
1be7f129d91388653f23a0fc7414bbfe,12049,2,.venv/lib/python3.13/site-packages/packaging/markers.py|.venv/lib/python3.13/site-packages/pip/_vendor/packaging/markers.py
3b83ef96387f14655fc854ddc3c6bd57,11358,2,.venv/lib/python3.13/site-packages/importlib_metadata-8.6.1.dist-info/LICENSE|.venv/lib/python3.13/site-packages/googleapis_common_protos-1.70.0.dist-info/LICENSE
d6793dec39bc14342ba7ca6703f91221,11225,2,.venv/lib/python3.13/site-packages/rich/panel.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/panel.py
12556d3dcb24bda0e777b5ee45046a53,3700,4,test_data/文档/file1_b.txt|test_data/文档/file1_c.txt|test_data/文档/file1_a.txt|test_data/文档/file1_d.txt
669a65482a124662963f972e6d36c6b4,10820,2,.venv/lib/python3.13/site-packages/distlib/resources.py|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/resources.py
c29478676a7a3761e48cdb01dd30d20c,10458,2,.venv/lib/python3.13/site-packages/platformdirs/unix.py|.venv/lib/python3.13/site-packages/pip/_vendor/platformdirs/unix.py
b8877d075d76fdd0aee2efa2001819a7,10221,2,.venv/lib/python3.13/site-packages/packaging/_parser.py|.venv/lib/python3.13/site-packages/pip/_vendor/packaging/_parser.py
abe97d4909bc747df4d12ef3beed9062,10209,2,.venv/lib/python3.13/site-packages/rich/_cell_widths.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/_cell_widths.py
dcbec6f5352f225981ead338d778419e,10186,2,.venv/lib/python3.13/site-packages/requests/auth.py|.venv/lib/python3.13/site-packages/pip/_vendor/requests/auth.py
